,County,ballots_cast,ballots_rejected,percent_rejected
0,Atlantic,135484,910,0.6716660269847362
1,Bergen,476733,5986,1.2556294613546786
2,Burlington,253339,1911,0.7543252321987535
3,Camden,246440,703,0.2852621327706541
4,Cape May,56565,367,0.6488111022717228
5,Cumberland,60047,761,1.267340583209819
6,Essex,307537,2184,0.7101584524788886
7,Gloucester,170985,100,0.058484662397286315
8,Hudson,224243,5605,2.499520609338976
9,Hunterdon,84247,618,0.7335572780039645
10,Mercer,169955,1314,0.773145832720426
11,Middlesex,355993,6837,1.9205433814709838
12,Monmouth,377148,5403,1.432594100989532
13,Morris,293123,1122,0.3827744666914572
14,Ocean,338676,3727,1.1004617982968974
15,Passaic,210776,1797,0.8525638592629142
16,Salem,33022,572,1.73217854763491
17,Somerset,183143,2369,1.2935247320399907
18,Sussex,87304,992,1.1362595070099881
19,Union,243523,6284,2.580454412930196
20,Warren,60053,970,1.6152398714468885
