County,Percent Hispanic or Latino,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or more races
"Atlantic County, New Jersey",19.4,55.9,13.7,0.2,7.8,0.2,0.1,2.7
"Bergen County, New Jersey",21.0,55.0,5.1,0.1,16.4,0.1,0.3,2.0
"Burlington County, New Jersey",8.5,66.4,16.4,0.0,5.1,0.0,0.4,3.2
"Camden County, New Jersey",17.6,55.6,18.4,0.1,5.7,0.0,0.5,2.2
"Cape May County, New Jersey",8.1,85.0,4.2,0.0,0.5,0.0,0.0,2.2
"Cumberland County, New Jersey",31.8,45.4,18.0,0.9,1.2,0.0,0.0,2.6
"Essex County, New Jersey",23.8,29.8,38.4,0.2,5.4,0.0,0.9,1.5
"Gloucester County, New Jersey",6.7,77.7,10.3,0.0,3.1,0.0,0.1,2.0
"Hudson County, New Jersey",42.7,28.8,10.3,0.1,15.3,0.0,0.5,2.2
"Hunterdon County, New Jersey",7.0,84.3,2.4,0.0,4.2,0.0,0.5,1.6
"Mercer County, New Jersey",18.5,48.2,19.4,0.2,11.8,0.1,0.1,1.8
"Middlesex County, New Jersey",22.1,41.6,9.2,0.1,24.4,0.1,0.4,2.2
"Monmouth County, New Jersey",11.1,74.9,6.7,0.0,5.3,0.0,0.3,1.6
"Morris County, New Jersey",13.9,70.3,3.3,0.0,10.8,0.0,0.3,1.5
"Ocean County, New Jersey",9.5,84.1,3.0,0.0,1.6,0.0,0.2,1.5
"Passaic County, New Jersey",42.9,40.3,10.4,0.1,5.1,0.0,0.1,1.0
"Salem County, New Jersey",9.8,73.2,12.7,0.3,1.1,0.4,0.2,2.3
"Somerset County, New Jersey",15.2,53.6,9.5,0.1,18.5,0.0,1.8,1.3
"Sussex County, New Jersey",9.2,84.9,2.4,0.0,1.8,0.0,0.1,1.5
"Union County, New Jersey",32.8,37.8,19.9,0.1,5.3,0.0,2.5,1.6
"Warren County, New Jersey",10.2,80.2,4.7,0.0,2.3,0.0,0.3,2.3
