,county,median_earnings
1,"Atlantic County, New Jersey",45935
2,"Bergen County, New Jersey",72267
3,"Burlington County, New Jersey",61748
4,"Camden County, New Jersey",51486
5,"Cape May County, New Jersey",51483
6,"Cumberland County, New Jersey",34905
7,"Essex County, New Jersey",51029
8,"Gloucester County, New Jersey",64004
9,"Hudson County, New Jersey",58372
10,"Hunterdon County, New Jersey",80882
11,"Mercer County, New Jersey",57023
12,"Middlesex County, New Jersey",65047
13,"Monmouth County, New Jersey",76140
14,"Morris County, New Jersey",81064
15,"Ocean County, New Jersey",60454
16,"Passaic County, New Jersey",48493
17,"Salem County, New Jersey",57340
18,"Somerset County, New Jersey",81377
19,"Sussex County, New Jersey",68713
20,"Union County, New Jersey",52001
21,"Warren County, New Jersey",67667
