,county,HS_and_less,HS_and_more,%HS_and_less,%HS_and_more
1,"Atlantic County, New Jersey",32464,175711,15.6,84.4
2,"Bergen County, New Jersey",70554,665338,9.6,90.4
3,"Burlington County, New Jersey",35189,318001,10.0,90.0
4,"Camden County, New Jersey",55085,337381,14.0,86.0
5,"Cape May County, New Jersey",7929,68160,10.4,89.6
6,"Cumberland County, New Jersey",25602,88369,22.5,77.5
7,"Essex County, New Jersey",103304,506293,16.9,83.1
8,"Gloucester County, New Jersey",22770,205767,10.0,90.0
9,"Hudson County, New Jersey",87458,448406,16.3,83.7
10,"Hunterdon County, New Jersey",9679,90980,9.6,90.4
11,"Mercer County, New Jersey",40924,248444,14.1,85.9
12,"Middlesex County, New Jersey",89880,556734,13.9,86.1
13,"Monmouth County, New Jersey",40266,448926,8.2,91.8
14,"Morris County, New Jersey",33089,356277,8.5,91.5
15,"Ocean County, New Jersey",45438,415058,9.9,90.1
16,"Passaic County, New Jersey",75045,307763,19.6,80.4
17,"Salem County, New Jersey",7066,42190,14.3,85.7
18,"Somerset County, New Jersey",22156,236021,8.6,91.4
19,"Sussex County, New Jersey",10514,102728,9.3,90.7
20,"Union County, New Jersey",69459,356833,16.3,83.7
21,"Warren County, New Jersey",8063,76852,9.5,90.5
